epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,426.773,0.67768,0.9553,0.64633,0.90977,0.77933,0.90452,0.85901,0.7132,0.77933,0.90452,0.85876,0.70326,0.63425,0.96838,0.70168,0.88863,0.00136392,0.00136392,0.00136392
48,433.894,0.68927,0.96122,0.65895,0.90215,0.75147,0.85548,0.8477,0.72182,0.75147,0.85548,0.8477,0.69036,0.65753,0.9466,0.72465,0.90017,0.00136251,0.00136251,0.00136251
49,442.995,0.69998,0.97912,0.66202,0.91291,0.78203,0.87635,0.86231,0.72904,0.78203,0.87635,0.86052,0.72756,0.62443,0.89148,0.64701,0.88449,0.00136109,0.00136109,0.00136109
50,449.642,0.68471,0.94555,0.63136,0.90418,0.79363,0.91506,0.85853,0.69576,0.79363,0.91506,0.85853,0.71615,0.68257,0.9276,0.74134,0.91811,0.00135968,0.00135968,0.00135968
51,458.624,0.68304,0.95658,0.63861,0.90453,0.84342,0.87046,0.89718,0.77199,0.84342,0.87046,0.89715,0.76847,0.60599,0.87249,0.61143,0.89478,0.00135826,0.00135826,0.00135826
52,466.478,0.66945,0.93952,0.6158,0.90622,0.84918,0.84695,0.91371,0.78994,0.84918,0.84695,0.91371,0.76671,0.61317,0.88577,0.62649,0.896,0.00135685,0.00135685,0.00135685
53,475.34,0.68887,0.98322,0.61697,0.90879,0.7568,0.88349,0.90589,0.76621,0.75672,0.88545,0.90689,0.74159,0.63992,0.89358,0.64024,0.9079,0.00135544,0.00135544,0.00135544
54,482.542,0.67714,0.94339,0.6151,0.90325,0.82725,0.89019,0.8773,0.7478,0.82725,0.89019,0.8773,0.74162,0.61473,0.84581,0.62812,0.88693,0.00135402,0.00135402,0.00135402
55,490.962,0.66699,0.95141,0.60525,0.8994,0.86113,0.87206,0.89174,0.77976,0.86113,0.87206,0.89174,0.74742,0.59848,0.8553,0.65373,0.88457,0.00135261,0.00135261,0.00135261
56,498.961,0.67666,0.94344,0.62456,0.90569,0.86098,0.86737,0.87109,0.73085,0.86098,0.86737,0.87109,0.71486,0.6241,0.86526,0.70466,0.8941,0.00135119,0.00135119,0.00135119
57,506.07,0.65831,0.91791,0.59514,0.90087,0.82128,0.87966,0.86937,0.74835,0.82128,0.87966,0.86937,0.73971,0.61853,0.84533,0.61885,0.89831,0.00134978,0.00134978,0.00134978
